state,state_code,county_code,county,date,timezone,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage,f_scale,length,width,latitude,longitude
FLORIDA,12,57,HILLSBOROUGH,08-OCT-13 14:24:00,EST-5,0,0,0,0,0.00K,EF0,0.25,30,27.83,-82.52
FLORIDA,12,45,GULF,26-NOV-13 09:00:00,CST-6,0,0,0,0,200.00K,EF1,2.92,50,30.09,-85.19
FLORIDA,12,77,LIBERTY,26-NOV-13 10:13:00,EST-5,0,0,0,0,0.00K,EF0,4.23,50,30.18,-85.12
FLORIDA,12,35,FLAGLER,14-DEC-13 19:00:00,EST-5,0,0,0,0,5.00M,EF1,9.52,150,29.52,-81.31
GEORGIA,13,15,BARTOW,30-JAN-13 11:12:00,EST-5,9,0,1,0,60.00M,EF3,5.06,900,34.34,-84.95
GEORGIA,13,129,GORDON,30-JAN-13 11:21:00,EST-5,8,0,0,0,15.00M,EF3,16.72,900,34.4,-84.9
GEORGIA,13,123,GILMER,30-JAN-13 12:05:00,EST-5,0,0,0,0,25.00K,EF1,3.13,300,34.82,-84.43
GEORGIA,13,111,FANNIN,30-JAN-13 12:08:00,EST-5,1,0,0,0,160.00K,EF1,8.64,900,34.85,-84.39
GEORGIA,13,7,BAKER,30-JAN-13 18:09:00,EST-5,0,0,0,0,15.00K,EF0,1.19,25,31.31,-84.35
GEORGIA,13,177,LEE,30-JAN-13 18:12:00,EST-5,0,0,0,0,1.00K,EF0,1.51,25,31.64,-84.16
GEORGIA,13,125,GLASCOCK,05-MAR-13 19:02:00,EST-5,0,0,0,0,250.00K,EF1,1.54,150,33.27,-82.61
GEORGIA,13,199,MERIWETHER,18-MAR-13 17:10:00,EST-5,0,0,0,0,125.00K,EF2,9.33,300,33.14,-84.68
GEORGIA,13,231,PIKE,18-MAR-13 17:25:00,EST-5,0,0,0,0,160.00K,EF2,4.01,300,33.1,-84.52
GEORGIA,13,33,BURKE,18-MAR-13 20:01:00,EST-5,0,0,0,0,120.00K,EF1,5.85,220,32.96,-82.16
GEORGIA,13,143,HARALSON,11-APR-13 17:23:00,EST-5,0,0,0,0,30.00K,EF0,5.7,150,33.67,-85.31
GEORGIA,13,233,POLK,11-APR-13 18:01:00,EST-5,0,0,0,0,15.00K,EF0,0.36,25,33.99,-85
GEORGIA,13,187,LUMPKIN,11-APR-13 20:23:00,EST-5,0,0,0,0,300.00K,EF1,0.76,250,34.45,-83.93
GEORGIA,13,139,HALL,11-APR-13 20:24:00,EST-5,0,0,0,0,10.00K,EF1,0.88,250,34.46,-83.92
GEORGIA,13,187,LUMPKIN,11-APR-13 20:25:00,EST-5,0,0,0,0,15.00K,EF1,2.43,250,34.47,-83.91
GEORGIA,13,217,NEWTON,19-APR-13 12:12:00,EST-5,1,0,0,0,500.00K,EF2,7.64,175,33.51,-83.75
GEORGIA,13,211,MORGAN,19-APR-13 12:21:00,EST-5,0,0,0,0,2.50K,EF0,3.4,75,33.53,-83.68
GEORGIA,13,77,COWETA,28-APR-13 12:30:00,EST-5,0,0,0,0,60.00K,EF0,0.14,50,33.29,-84.76
GEORGIA,13,151,HENRY,28-APR-13 14:20:00,EST-5,0,0,0,0,20.00K,EF0,1.05,100,33.47,-84.04
GEORGIA,13,181,LINCOLN,28-APR-13 17:08:00,EST-5,0,0,0,0,12.00K,EF0,1.24,40,33.65,-82.46
GEORGIA,13,57,CHEROKEE,13-JUN-13 18:00:00,EST-5,2,0,0,0,60.00K,EF1,8.5,75,34.27,-84.56
GEORGIA,13,57,CHEROKEE,13-JUN-13 18:30:00,EST-5,0,0,0,0,2.50K,EF0,0.11,10,34.08,-84.52
GEORGIA,13,67,COBB,13-JUN-13 18:31:00,EST-5,0,0,0,0,300.00K,EF0,10.46,200,34.08,-84.52
GEORGIA,13,121,FULTON,13-JUN-13 18:41:00,EST-5,0,0,0,0,60.00K,EF1,2.36,100,33.97,-84.38
GEORGIA,13,149,HEARD,18-AUG-13 18:41:00,EST-5,0,0,0,0,9.00K,EF1,0.4,15,33.41,-85.28
IDAHO,16,51,JEFFERSON,07-MAY-13 15:10:00,MST-7,0,0,0,0,0.00K,EF0,1.17,5,43.9,-112.49
